연번,시도,시군구,읍면동,주    소,전화번호,실제_기관명_전화_AI,D열과의 매핑여부,팩스번호,실제_기관명_팩스_AI,I열과의 매핑여부,팩스전송결과(250711),팩스전송_성공여부,우선순위_케이스,Phase0_성공여부,Phase0_전화매칭,Phase0_팩스매칭,Phase0_신뢰도,전화_매칭_유형,팩스_매칭_유형,최종_결과,오류_메시지
2,서울,종로구,사직동주민센터,서울특별시 종로구 경희궁1길 15,02-2148-5033,02-2148-5033은 서울 종로구 사직동 주민센터의 전화번호입니다,O,02-2148-5951,02-2148-5951은 서울 종로구 부암동 주민센터의 팩스번호입니다,O,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
4,서울,종로구,부암동주민센터,서울특별시 종로구 창의문로 145 ,02-2148-5092,02-2148-5092은 서울 종로구 부암동 주민센터의 전화번호입니다,O,02-2148-5842,02-2148-5842은 서울 종로구 사직동 주민센터의 팩스번호입니다,O,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
5,서울,종로구,평창동주민센터,서울특별시 종로구 평창문화로 65 ,02-2148-5123,,X,02-394-5682,,X,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
9,서울,종로구,종로1234가동주민센터,서울특별시 종로구 종로17길 8 ,02-2148-5243,02-2148-5243은 서울 종로구 종로1.2.3.4가동 주민센터의 전화번호입니다,O,02-2148-5858,02-2148-5858은 서울 종로구 숭인제2동 주민센터의 팩스번호입니다,O,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
10,서울,종로구,종로56가동주민센터,서울특별시 종로구 종로35가길 19 ,02-2148-5273,02-2148-5273은 서울 종로구 종로5.6가동 주민센터의 전화번호입니다,O,02-2148-5849,02-2148-5849은 서울 종로구 종로1.2.3.4가동 주민센터의 팩스번호입니다,O,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
11,서울,종로구,이화동주민센터,서울특별시 종로구 이화장길 33 ,02-2148-5304,,,02-3396-8967,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
12,서울,종로구,혜화동주민센터,서울특별시 종로구 혜화로 12 ,02-2148-5333,02-2148-5333은 서울 종로구 혜화동 주민센터의 전화번호입니다,,02-733-5028,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
13,서울,종로구,창신1동주민센터,서울특별시 종로구 지봉로 8-6 ,02-2148-5392,,,02-2241-6506,02-2241-6506은 서울 성북구 안암동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,FALSE,TRUE,80,매칭실패,팩스→팩스,Phase 0 자동 라벨링 완료,
17,서울,종로구,숭인2동주민센터,서울특별시 종로구 종로65길 10 ,02-2148-5513,02-2148-5513은 서울 종로구 숭인제2동 주민센터의 전화번호입니다,,02-6969-9333,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
18,서울,중  구,소공동주민센터,서울특별시 중구 남대문로1길 31-5,02-3396-6500,02-3396-6500은 서울 중구 소공동 주민센터의 전화번호입니다,,02-3396-8967,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
19,서울,중  구,회현동주민센터,서울특별시 중구 퇴계로8길 46,02-3396-6530,02-3396-6530은 서울 중구 회현동 주민센터의 전화번호입니다,,02-3396-8921,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
20,서울,중  구,명동주민센터(임시청사),서울특별시 중구 퇴계로20나길 16,02-3396-6560,02-3396-6560은 서울 중구 명동 주민센터의 전화번호입니다,,02-3396-8932,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
21,서울,중  구,필동주민센터,서울특별시 중구 퇴계로36길 42,02-3396-6590,02-3396-6590은 서울 중구 필동 주민센터의 전화번호입니다,,02-3396-8967,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
22,서울,중  구,장충동주민센터,서울특별시 중구 장충단로8길 22,02-3396-6620,02-3396-6620은 서울 중구 장충동 주민센터의 전화번호입니다,,02-3396-8967,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
23,서울,중  구,광희동주민센터,서울특별시 중구 퇴계로 303-9,02-3396-6650,02-3396-6650은 서울 중구 광희동 주민센터의 전화번호입니다,,02-3396-8947,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
24,서울,중  구,을지로동주민센터(임시청사),서울특별시 중구 충무로9길 20,02-3396-6680,02-3396-6680은 서울 중구 을지로동 주민센터의 전화번호입니다,,02-3396-8951,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
25,서울,중  구,신당동주민센터,서울특별시 중구 다산로33길 3,02-3396-6710,02-3396-6710은 서울 중구 신당동 주민센터의 전화번호입니다,,02-3396-8956,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
26,서울,중  구,다산동주민센터,서울특별시 중구 동호로15길 50,02-3396-6740,02-3396-6740은 서울 중구 다산동 주민센터의 전화번호입니다,,02-853-8322,02-853-8322은 서울 관악구 신사동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
27,서울,중  구,약수동주민센터,서울특별시 중구 다산로 92,02-3396-6770,02-3396-6770은 서울 중구 약수동 주민센터의 전화번호입니다,,02-3396-8888,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
28,서울,중  구,청구동주민센터,서울특별시 중구 청구로3길 55,02-3396-6800,02-3396-6800은 서울 중구 청구동 주민센터의 전화번호입니다,,02-3396-8888,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
29,서울,중  구,신당제5동주민센터,서울특별시 중구 다산로44길 85,02-3396-6830,02-3396-6830은 서울 중구 신당5동 주민센터의 전화번호입니다,,02-3396-8967,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
30,서울,중  구,동화동주민센터,서울특별시 중구 다산로36길 100,02-3396-6860,02-3396-6860은 서울 중구 동화동 주민센터의 전화번호입니다,,02-3396-8967,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
31,서울,중  구,황학동주민센터,서울특별시 중구 난계로11길 52,02-3396-6890,02-3396-6890은 서울 중구 황학동 주민센터의 전화번호입니다,,02-3396-8986,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
32,서울,중  구,중림동주민센터,서울특별시 중구 만리재로175,02-3396-6920,02-3396-6920은 서울 중구 중림동 주민센터의 전화번호입니다,,02-3396-8993,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
33,서울,용산구,후암동주민센터,서울특별시 용산구 후암로 32-6,02-2199-8400,02-2199-8400은 서울 용산구 후암동 주민센터의 전화번호입니다,,02-2199-5840,02-2199-5840은 서울 용산구 후암동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
34,서울,용산구,용산2가동주민센터,서울특별시 용산구 신흥로 90,02-3785-1535,,,02-3396-8967,,,성공,TRUE,성공,FALSE,FALSE,FALSE,0,매칭실패,매칭실패,웹 검색 완료 - 추가 검증 필요,
36,서울,용산구,청파동주민센터,서울특별시 용산구 청파로49길 6,02-2199-8460,02-2199-8460은 서울 용산구 청파동 주민센터의 전화번호입니다,,02-716-3123,,,성공,TRUE,성공,TRUE,TRUE,FALSE,80,전화→전화,매칭실패,Phase 0 자동 라벨링 완료,
38,서울,용산구,원효로제2동주민센터,서울특별시 용산구 효창원로8길 3,02-2199-8500,02-2199-8500은 서울 용산구 원효로2동 주민센터의 전화번호입니다,,02-2199-5890,02-2199-5890은 서울 용산구 원효로2동 주민센터의 팩스번호입니다,,성공,TRUE,성공,TRUE,TRUE,TRUE,100,전화→전화,팩스→팩스,Phase 0 자동 라벨링 완료,
