연번,시도,시군구,읍면동,주    소,전화번호,실제 기관명,올바른 전화번호,팩스번호,실제 기관명,올바른 팩스번호,팩스전송결과(250711),,
1,서울,종로구,청운효자동주민센터,서울특별시 종로구 자하문로 92 ,02-2148-5001,,,02-730-5479,,,응답없음,,a
2,서울,종로구,사직동주민센터,서울특별시 종로구 경희궁1길 15,02-2148-5033,,,02-2148-5951,,,성공,,b
3,서울,종로구,삼청동주민센터,서울특별시 종로구 삼청로 107 ,02-2148-5062,,,,,,#N/A,,a
4,서울,종로구,부암동주민센터,서울특별시 종로구 창의문로 145 ,02-2148-5092,,,02-2148-5842,,,성공,,b
5,서울,종로구,평창동주민센터,서울특별시 종로구 평창문화로 65 ,02-2148-5123,,,02-394-5682,,,성공,,a
6,서울,종로구,무악동주민센터,서울특별시 종로구 통일로14길 36 ,02-2148-5153,,,,,,#N/A,,b
7,서울,종로구,교남동주민센터,서울특별시 종로구 송월길 154 ,02-2148-5184,,,,,,#N/A,,a
8,서울,종로구,가회동주민센터,서울특별시 종로구 북촌로 35 ,02-2148-5213,,,,,,#N/A,,b
9,서울,종로구,종로1234가동주민센터,서울특별시 종로구 종로17길 8 ,02-2148-5243,,,02-2148-5858,,,성공,,a
10,서울,종로구,종로56가동주민센터,서울특별시 종로구 종로35가길 19 ,02-2148-5273,,,02-2148-5849,,,성공,,b
11,서울,종로구,이화동주민센터,서울특별시 종로구 이화장길 33 ,02-2148-5304,,,02-3396-8967,,,성공,,a
12,서울,종로구,혜화동주민센터,서울특별시 종로구 혜화로 12 ,02-2148-5333,,,02-733-5028,,,성공,,b
13,서울,종로구,창신1동주민센터,서울특별시 종로구 지봉로 8-6 ,02-2148-5392,,,02-2241-6506,,,성공,,a
14,서울,종로구,창신2동주민센터,서울특별시 종로구 창신길 62 ,02-2148-5423,,,,,,#N/A,,b
15,서울,종로구,창신3동주민센터,서울특별시 종로구 지봉로 87 ,02-2148-5453,,,02-2148-5452,,,연결끊김 ,,a
16,서울,종로구,숭인1동주민센터,서울특별시 종로구 지봉로 86 ,02-2148-5483,,,02-2241-6508,,,응답없음,,b
17,서울,종로구,숭인2동주민센터,서울특별시 종로구 종로65길 10 ,02-2148-5513,,,02-6969-9333,,,성공,,a
18,서울,중  구,소공동주민센터,서울특별시 중구 남대문로1길 31-5,02-3396-6500,,,02-3396-8967,,,성공,,b
19,서울,중  구,회현동주민센터,서울특별시 중구 퇴계로8길 46,02-3396-6530,,,02-3396-8921,,,성공,,a
20,서울,중  구,명동주민센터(임시청사),서울특별시 중구 퇴계로20나길 16,02-3396-6560,,,02-3396-8932,,,성공,,b
21,서울,중  구,필동주민센터,서울특별시 중구 퇴계로36길 42,02-3396-6590,,,02-3396-8967,,,성공,,a
22,서울,중  구,장충동주민센터,서울특별시 중구 장충단로8길 22,02-3396-6620,,,02-3396-8967,,,성공,,b
23,서울,중  구,광희동주민센터,서울특별시 중구 퇴계로 303-9,02-3396-6650,,,02-3396-8947,,,성공,,a
24,서울,중  구,을지로동주민센터(임시청사),서울특별시 중구 충무로9길 20,02-3396-6680,,,02-3396-8951,,,성공,,b
25,서울,중  구,신당동주민센터,서울특별시 중구 다산로33길 3,02-3396-6710,,,02-3396-8956,,,성공,,a
26,서울,중  구,다산동주민센터,서울특별시 중구 동호로15길 50,02-3396-6740,,,02-853-8322,,,성공,,b
27,서울,중  구,약수동주민센터,서울특별시 중구 다산로 92,02-3396-6770,,,02-3396-8888,,,성공,,a
28,서울,중  구,청구동주민센터,서울특별시 중구 청구로3길 55,02-3396-6800,,,02-3396-8888,,,성공,,b
29,서울,중  구,신당제5동주민센터,서울특별시 중구 다산로44길 85,02-3396-6830,,,02-3396-8967,,,성공,,a
30,서울,중  구,동화동주민센터,서울특별시 중구 다산로36길 100,02-3396-6860,,,02-3396-8967,,,성공,,b
31,서울,중  구,황학동주민센터,서울특별시 중구 난계로11길 52,02-3396-6890,,,02-3396-8986,,,성공,,a
32,서울,중  구,중림동주민센터,서울특별시 중구 만리재로175,02-3396-6920,,,02-3396-8993,,,성공,,b
33,서울,용산구,후암동주민센터,서울특별시 용산구 후암로 32-6,02-2199-8400,,,02-2199-5840,,,성공,,a
34,서울,용산구,용산2가동주민센터,서울특별시 용산구 신흥로 90,02-3785-1535,,,02-3396-8967,,,성공,,b
35,서울,용산구,남영동주민센터,서울특별시 용산구 두텁바위로 25,02-2199-8440,,,,,,#N/A,,a
36,서울,용산구,청파동주민센터,서울특별시 용산구 청파로49길 6,02-2199-8460,,,02-716-3123,,,성공,,b
37,서울,용산구,원효로제1동주민센터,서울특별시 용산구 백범로 350,02-2199-8440,,,02-2199-8481,,,연결끊김 ,,a
38,서울,용산구,원효로제2동주민센터,서울특별시 용산구 효창원로8길 3,02-2199-8500,,,02-2199-5890,,,성공,,b
39,서울,용산구,효창동주민센터,서울특별시 용산구 효창원로 161,02-2199-8520,,,02-716-5129,,,성공,,a
40,서울,용산구,용문동주민센터,서울특별시 용산구 새창로12길 13,02-2199-8540,,,02-2120-2775,,,성공,,b
41,서울,용산구,한강로동주민센터,서울특별시 용산구 한강대로38길 28,02-2199-8560,,,,,,#N/A,,a
42,서울,용산구,이촌제1동주민센터,서울특별시 용산구 이촌로71길 24,02-2199-8600,,,02-2199-5940,,,성공,,b
43,서울,용산구,이촌제2동주민센터,서울특별시 용산구 이촌로18길 20,02-701-6367,,,02-2199-8606,,,연결끊김,,a
44,서울,용산구,이태원제1동주민센터,서울특별시 용산구 보광로 104-6,02-2199-8620,,,,,,#N/A,,b
45,서울,용산구,이태원제2동주민센터,서울특별시 용산구 회나무로13길 58,02-749-7756,,,02-2199-8640,,,연결끊김,,a
46,서울,용산구,한남동주민센터,서울특별시 용산구 대사관로5길 1,02-2199-8675,,,02-2199-5970,,,성공,,b
47,서울,용산구,서빙고동주민센터,서울특별시 용산구 서빙고로 279,02-3785-1597,,,02-6969-9333,,,성공,,a
48,서울,용산구,보광동주민센터,서울특별시 용산구 장문로 95,02-2199-8700,,,02-2199-5990,,,성공,,b
49,서울,성동구,왕십리도선동주민센터,서울특별시 성동구 마장로 141,02-2286-7201,,,02-2286-5951,,,성공,,a
50,서울,성동구,왕십리제2동주민센터,서울특별시 성동구 무학봉15길 6,02-2286-7222,,,,,,#N/A,,b
51,서울,성동구,마장동주민센터,서울특별시 성동구 마장로 42길 11,02-2286-7241,,,02-3396-8967,,,성공,,a
52,서울,성동구,사근동주민센터,서울특별시 성동구 사근동길 37,02-2286-7261,,,02-3395-7999,,,성공,,b
53,서울,성동구,행당제1동주민센터,서울특별시 성동구 고산자로10길 18 ,02-2286-7281,,,02-3396-8967,,,성공,,a
54,서울,성동구,행당제2동주민센터,서울특별시 성동구 행당로9길 9,02-2286-7301,,,02-2286-7300,,,연결끊김,,b
55,서울,성동구,응봉동주민센터,서울특별시 성동구 독서당로 424,02-2286-7320,,,02-2286-5958,,,성공,,a
56,서울,성동구,금호1가동주민센터,서울특별시 성동구 금호로 166-1,02-2286-7342,,,,,,#N/A,,b
57,서울,성동구,금호2.3가동주민센터,서울특별시 성동구 무수막18길 1,02-2299-7770,,,02-2286-7361,,,연결끊김,,a
58,서울,성동구,금호4가동주민센터,서울특별시 성동구 독서당로46길 26,02-2286-7380,,,02-6969-9333,,,성공,,b
59,서울,성동구,옥수동주민센터,서울특별시 성동구 독서당로 203,02-2286-7402,,,02-2286-5963,,,성공,,a
60,서울,성동구,성수1가제1동주민센터,서울특별시 성동구 뚝섬로3길8,02-2286-7421,,,02-6969-9333,,,성공,,b
61,서울,성동구,성수1가제2동주민센터,서울특별시 성동구 왕십리로5길3,02-2286-7441,,,02-6969-9333,,,성공,,a
62,서울,성동구,성수2가제1동주민센터,서울특별시 성동구 뚝섬로385-19,02-2286-7461,,,,,,#N/A,,b
63,서울,성동구,성수2가제3동주민센터,서울특별시 성동구 광나루로2길 35,02-2286-7481,,,,,,#N/A,,a
64,서울,성동구,송정동주민센터,서울특별시 성동구 동일로 43길 13,02-2286-7501,,,02-2600-0445,,,연결끊김 ,,b
65,서울,성동구,용답동주민센터,서울특별시 성동구 용답중앙23길 20 ,02-2286-7521,,,02-2286-5970,,,성공,,a
66,서울,광진구,중곡제1동주민센터,서울특별시 광진구 긴고랑로12길 49,02-450-1501,,,02-411-1781,,,성공,,b
67,서울,광진구,중곡제2동주민센터,서울특별시 광진구 능동로 346,02-450-1502,,,02-411-1787,,,성공,,a
68,서울,광진구,중곡제3동주민센터(임시청사),서울특별시 광진구 용마산로 117,02-450-1503,,,,,,#N/A,,b
69,서울,광진구,중곡제4동주민센터,서울특별시 광진구 긴고랑로 131,02-450-1503,,,02-2671-8212,,,성공,,a
70,서울,광진구,능동주민센터,서울특별시 광진구 천호대로112길 55,02-450-1515,,,02-411-1782,,,성공,,b
71,서울,광진구,구의제1동주민센터,서울특별시 광진구 광나루로36길 56,02-450-1506,,,02-411-1786,,,성공,,a
72,서울,광진구,구의제2동주민센터,서울특별시 광진구 천호대로136길 55,02-450-1507,,,02-411-1787,,,성공,,b
73,서울,광진구,구의제3동주민센터,서울특별시 광진구 강변역로 17,02-450-1508,,,02-411-1788,,,성공,,a
74,서울,광진구,광장동주민센터,서울특별시 광진구 광장로 52,02-450-1509,,,02-411-1789,,,성공,,b
75,서울,광진구,자양제1동주민센터,서울특별시 광진구 자양로13길 37,02-450-1283,,,02-411-1785,,,성공,,a
76,서울,광진구,자양제2동주민센터,서울특별시 광진구 자양로3가길 26,02-450-1511,,,02-411-1791,,,성공,,b
77,서울,광진구,자양제3동주민센터,서울특별시 광진구 뚝섬로 568,02-450-1512,,,02-411-1792,,,성공,,a
78,서울,광진구,자양제4동주민센터,서울특별시 광진구 뚝섬로26길 58,02-450-1513,,,02-411-1794,,,성공,,b
79,서울,광진구,화양동주민센터,서울특별시 광진구 능동로17길 39,02-450-1515,,,02-2256-7472,,,성공,,a
80,서울,광진구,군자동주민센터,서울특별시 광진구 면목로13,02-450-1506,,,02-2670-3002,,,성공,,b
81,서울,동대문구,용신동주민센터,서울특별시 동대문구 천호대로27길 35,02-2171-6023,,,02-3295-1038,,,성공,,a
82,서울,동대문구,제기동주민센터,서울특별시 동대문구 약령시로 71,02-2171-6063,,,02-3299-2646,,,성공,,b
83,서울,동대문구,전농제1동주민센터,서울특별시 동대문구 서울시립대로9길21,02-2127-4551,,,02-3299-2654,,,성공,,a
84,서울,동대문구,전농제2동주민센터,서울특별시 동대문구 사가정로 137,02-2171-6142,,,02-3299-2648,,,성공,,b
85,서울,동대문구,답십리제1동주민센터,서울특별시 동대문구 사가정로 30,02-2127-4549,,,02-3299-2653,,,성공,,a
86,서울,동대문구,답십리제2동주민센터,서울특별시 동대문구 한천로11길 18,02-2171-6242,,,02-3299-2654,,,성공,,b
87,서울,동대문구,장안제1동주민센터,서울특별시 동대문구 한천로18길 52,02-2127-4558,,,02-2171-6280,,,연결끊김,,a
88,서울,동대문구,장안제2동주민센터,서울특별시 동대문구 사가정로 230-1,02-2171-6021,,,02-3299-2654,,,성공,,b
89,서울,동대문구,청량리동주민센터,서울특별시 동대문구 왕산로 239 4층,02-2127-4550,,,02-3299-2646,,,성공,,a
90,서울,동대문구,회기동주민센터,서울특별시 동대문구 회기로25길 12-1,02-2171-6402,,,02-963-5019,,,성공,,b
91,서울,동대문구,휘경제1동주민센터,서울특별시 동대문구 외대역동로6길 3,02-2171-6422,,,,,,#N/A,,a
92,서울,동대문구,휘경제2동주민센터,서울특별시 동대문구 한천로 329,02-2171-6442,,,,,,#N/A,,b
93,서울,동대문구,이문제1동주민센터,서울특별시 동대문구 외대역동로 114-1,02-2171-6462,,,02-3299-2663,,,성공,,a
94,서울,동대문구,이문제2동주민센터,서울특별시 동대문구 신이문로 27-5,02-2171-6502,,,02-3299-2663,,,성공,,b
95,서울,중랑구,면목본동 주민센터,서울특별시 중랑구 면목로 397,02-2094-6000,,,02-2094-6009,,,응답없음,,a
96,서울,중랑구,면목제2동 주민센터,서울특별시 중랑구 동일로101길 20-15,02-2094-6040,,,02-2094-6049,,,성공,,b
97,서울,중랑구,면목제38동 주민센터,서울특별시 중랑구 사가정로51길 48,02-2094-6040,,,02-2094-6049,,,성공,,a
98,서울,중랑구,면목제4동 주민센터,서울특별시 중랑구 면목로 246,02-2094-6120,,,02-2094-6129,,,응답없음,,b
99,서울,중랑구,면목제5동 주민센터,서울특별시 중랑구 동일로 619,02-2094-6160,,,,,,#N/A,,a
100,서울,중랑구,면목제7동 주민센터,서울특별시 중랑구 사가정로52길 13 5층 ~ 9층,02-2094-6200,,,02-2094-6209,,,응답없음,,b
101,서울,중랑구,상봉제1동 주민센터,서울특별시 중랑구 상봉중앙로1길 6,02-2094-6240,,,02-2094-6249,,,성공,,a
102,서울,중랑구,상봉제2동 주민센터,서울특별시 중랑구 동일로114길 10,02-2094-6280,,,02-2094-6289,,,성공,,b
103,서울,중랑구,중화제1동 주민센터,서울특별시 중랑구 동일로134길 17,02-2094-6320,,,02-2094-6289,,,성공,,a
104,서울,중랑구,중화제2동 주민센터,서울특별시 중랑구 동일로129길 1 5층,02-2094-6378,,,02-2094-6369,,,연결끊김 ,,b
105,서울,중랑구,묵제1동 주민센터,서울특별시 중랑구 공릉로2가길 5,02-2094-6400,,,02-2094-6409,,,성공,,a
106,서울,중랑구,묵제2동 주민센터,서울특별시 중랑구 동일로157길 29,02-330-8141,,,02-2094-6449,,,응답없음,,b
107,서울,중랑구,망우본동 주민센터,서울특별시 중랑구 망우로67길 10,02-2094-6480,,,02-936-5060,,,성공,,a
108,서울,중랑구,망우제3동 주민센터,서울특별시 중랑구 겸재로61길 40,02-2094-6522,,,02-493-7661,,,성공,,b
109,서울,중랑구,신내제1동 주민센터,서울특별시 중랑구 용마산로129나길 35,02-2094-6560,,,02-2094-6569,,,응답없음,,a
110,서울,중랑구,신내제2동 주민센터,서울특별시 중랑구 봉화산로 190,02-2094-6600,,,02-2094-6609,,,응답없음,,b
111,서울,성북구,성북동주민센터,서울특별시 성북구 성북로 37,02-2241-5000,,,02-927-9509,,,성공,,a
112,서울,성북구,삼선동주민센터,서울특별시 성북구 보문로 190,02-2241-5040,,,02-927-9509,,,성공,,b
113,서울,성북구,동선동주민센터,서울특별시 성북구 동소문로26길 27,02-2241-5087,,,02-920-3806,,,성공,,a
114,서울,성북구,돈암제1동주민센터(임시청사),"서울시 성북구 정릉로48길35, 3층",02-2241-5120,,,02-2241-6512,,,응답없음,,b
115,서울,성북구,돈암제2동주민센터,서울특별시 성북구 흥천사길 7,02-2241-5120,,,02-2241-6505,,,성공,,a
116,서울,성북구,안암동주민센터,서울특별시 성북구 고려대로 16,02-2241-5200,,,02-6442-9706,,,연결끊김 ,,b
117,서울,성북구,보문동주민센터,서울특별시 성북구 안암로3길 35,02-2241-5250,,,02-927-9509,,,성공,,a
118,서울,성북구,정릉제1동주민센터,서울특별시 성북구 정릉로38마길 33,02-2241-5120,,,02-6442-9706,,,연결끊김 ,,b
119,서울,성북구,정릉제2동주민센터,서울특별시 성북구 정릉로26길 1 ,02-2241-5280,,,02-2241-6508,,,응답없음,,a
120,서울,성북구,정릉제3동주민센터,서울특별시 성북구 솔샘로1길 6-3,02-2241-5280,,,02-2241-6504,,,성공,,b
121,서울,성북구,정릉제4동주민센터,서울특별시 성북구 보국문로 106-1,02-2241-5280,,,02-2241-6508,,,응답없음,,a
122,서울,성북구,길음제1동주민센터,서울특별시 성북구 길음로 92,02-2241-5200,,,02-927-9509,,,성공,,b
123,서울,성북구,길음제2동주민센터,서울특별시 성북구 삼양로2길 70,02-2241-5440,,,02-927-9509,,,성공,,a
124,서울,성북구,종암동주민센터,서울특별시 성북구 종암로 98-8,02-2241-5520,,,02-6442-6925,,,성공,,b
125,서울,성북구,월곡제1동주민센토,서울특별시 성북구 오패산로 96,02-2241-5567,,,02-6442-9706,,,연결끊김 ,,a
126,서울,성북구,월곡제2동주민센터,서울특별시 성북구 화랑로 152,02-2241-5609,,,02-6442-9706,,,연결끊김 ,,b
127,서울,성북구,장위제1동주민센터,서울특별시 성북구 장위로 61,02-2241-5640,,,02-927-9509,,,성공,,a
128,서울,성북구,장위제2동주민센터,서울특별시 성북구 돌곶이로27길 12,02-2241-5680,,,02-927-9509,,,성공,,b
129,서울,성북구,장위제3동주민센터,서울특별시 성북구 한천로 657,02-2241-3114,,,02-927-9509,,,성공,,a
130,서울,성북구,석관동주민센터,서울특별시 성북구 화랑로 296,02-2241-5772,,,02-2241-6512,,,응답없음,,b
131,서울,강북구,삼양동주민센터,서울특별시 강북구 솔매로 69,02-3778-4002,,,02-945-1307,,,성공,,a
132,서울,강북구,미아동주민센터,서울특별시 강북구 솔매로49길 14,02-901-2024,,,02-6969-9333,,,성공,,b
133,서울,강북구,송중동주민센터,서울특별시 강북구 오패산로 162,02-901-5925,,,02-3778-4049,,,성공,,a
134,서울,강북구,송천동주민센터,서울특별시 강북구 솔샘로 284,02-3778-4152,,,02-3778-4199,,,성공,,b
135,서울,강북구,삼각산동주민센터,서울특별시 강북구 삼양로19길 34,02-3778-4222,,,02-3396-8967,,,성공,,a
136,서울,강북구,번1동주민센터,서울특별시 강북구 덕릉로41길 74,02-2286-7281,,,02-3423-8950,,,성공,,b
137,서울,강북구,번2동주민센터,서울특별시 강북구 한천로 897,02-2286-7441,,,02-3778-4349,,,성공,,a
138,서울,강북구,번3동주민센터,서울특별시 강북구 한천로105길 21,02-3778-4352,,,02-2670-3002,,,성공,,b
139,서울,강북구,수유1동주민센터,서울특별시 강북구 삼양로 299,02-901-5925,,,02-3778-4452,,,연결끊김 ,,a
140,서울,강북구,수유2동주민센터,서울특별시 강북구 한천로 1117,02-3778-4702,,,,,,#N/A,,b
141,서울,강북구,수유3동주민센터,서울특별시 강북구 노해로 36,02-3778-4752,,,,,,#N/A,,a
142,서울,강북구,우이동주민센터,서울특별시 강북구 삼양로 139길 49,02-3778-4902,,,,,,#N/A,,b
143,서울,강북구,인수동주민센터,서울특별시 강북구 인수봉로 255,02-901-5925,,,02-6969-9333,,,성공,,a
144,서울,도봉구,쌍문제1동 주민센터,서울특별시 도봉구 노해로 147 ,02-2091-5881,,,02-2091-6370,,,성공,,b
145,서울,도봉구,쌍문제2동 주민센터,서울특별시 도봉구 도봉로138길 21,02-2091-5529,,,,,,#N/A,,a
146,서울,도봉구,쌍문제3동 주민센터,서울특별시 도봉구 노해로44길9,02-2091-5368,,,02-2091-5113,,,연결끊김 ,,b
147,서울,도봉구,쌍문제4동 주민센터,서울특별시 도봉구 시루봉로 62-7,02-2091-5114,,,02-2091-5578,,,연결끊김 ,,a
148,서울,도봉구,방학제1동 주민센터,서울특별시 도봉구 방학로2길 27,051-419-5530,,,051-419-5521,,,연결끊김,,b
149,서울,도봉구,방학제2동 주민센터,서울특별시 도봉구 시루봉로 226,051-605-4921,,,051-605-4950,,,성공,,a
150,서울,도봉구,방학제3동 주민센터,서울특별시 도봉구 시루봉로 94,,,,,,,#N/A,,b
151,서울,도봉구,창제1동 주민센터,서울특별시 도봉구 해등로 46,051-310-3201,,,051-310-3209,,,성공,,a
152,서울,도봉구,창제2동 주민센터,서울특별시 도봉구 덕릉로59길 73-3,053-661-3301,,,053-757-5788,,,성공,,b
153,서울,도봉구,창제3동 주민센터,서울특별시 도봉구 덕릉로62길 89,,,,053-661-3303,,,연결끊김 ,,a
154,서울,도봉구,창제4동 주민센터,서울특별시 도봉구 노해로 390,,,,053-661-3304,,,연결끊김 ,,b
155,서울,도봉구,창제5동 주민센터,서울특별시 도봉구 도봉로136나길 20,,,,053-661-3305,,,연결끊김 ,,a
156,서울,도봉구,도봉제1동 주민센터,서울특별시 도봉구 도봉로169나길 22,,,,053-661-3657,,,연결끊김 ,,b
157,서울,도봉구,도봉제2동 주민센터,서울특별시 도봉구 마들로 668,053-661-3307,,,053-661-3307,,,연결끊김 ,,a
158,서울,노원구,월계1동주민센터,서울특별시 노원구 석계로 59,053-661-3308,,,053-661-3308,,,연결끊김 ,,b
159,서울,노원구,월계2동주민센터,서울특별시 노원구 초안산로5길 28,053-661-3309,,,053-664-3030,,,응답없음,,a
160,서울,노원구,월계3동주민센터,서울특별시 노원구 마들로 57,053-661-3310,,,053-661-3310,,,연결끊김 ,,b
161,서울,노원구,공릉1동주민센터,서울특별시 노원구 동일로186길 3-24,053-661-3311,,,053-661-3311,,,연결끊김 ,,a
162,서울,노원구,공릉2동주민센터,서울특별시 노원구 노원로1길 68,,,,053-661-2569,,,성공,,b
163,서울,노원구,하계1동주민센터,서울특별시 노원구 노원로 261,,,,053-664-3030,,,응답없음,,a
164,서울,노원구,하계2동주민센터,서울특별시 노원구 공릉로55길 88,053-662-3303,,,053-662-3303,,,연결끊김 ,,b
165,서울,노원구,중계본동주민센터,서울특별시 노원구 중계로 143,053-662-3305,,,053-662-3305,,,연결끊김 ,,a
166,서울,노원구,중계1동주민센터,서울특별시 노원구 한글비석로 279,,,,053-662-3307,,,연결끊김 ,,b
167,서울,노원구,중계2.3동주민센터,서울특별시 노원구 노원로17길 56,053-662-3310,,,053-662-3781,,,연결끊김 ,,a
168,서울,노원구,중계4동주민센터,서울특별시 노원구 덕릉로82길 50,053-662-3315,,,053-662-3315,,,연결끊김 ,,b
169,서울,노원구,상계1동주민센터,서울특별시 노원구 동일로 1697,053-662-3317,,,053-662-3367,,,성공,,a
170,서울,노원구,상계2동주민센터,서울특별시 노원구 상계로 118,053-663-3315,,,053-663-3315,,,연결끊김 ,,b
171,서울,노원구,상계3.4동주민센터,서울특별시 노원구 덕릉로 859,053-663-3317,,,,,,#N/A,,a
172,서울,노원구,상계5동주민센터,서울특별시 노원구 한글비석로 432,,,,053-664-3030,,,응답없음,,b
173,서울,노원구,상계6.7동주민센터,서울특별시 노원구 노원로 429,053-664-2000,,,053-664-3030,,,응답없음,,a
174,서울,노원구,상계8동주민센터,서울특별시 노원구 동일로227길 97,053-664-2000,,,053-664-3751,,,연결끊김,,b
175,서울,노원구,상계9동주민센터,서울특별시 노원구 한글비석로 487,053-664-3791,,,053-664-3030,,,응답없음,,a
176,서울,노원구,상계10동주민센터,서울특별시 노원구 노원로 530,053-664-3811,,,053-664-3030,,,응답없음,,b
177,서울,은평구,녹번동주민센터,서울특별시 은평구 은평로 195,053-664-2000,,,053-664-3030,,,응답없음,,a
178,서울,은평구,불광제1동주민센터,서울특별시 은평구 진흥로15길 10,053-664-2000,,,053-664-3030,,,응답없음,,b
179,서울,은평구,불광제2동주민센터,서울특별시 은평구 연서로41길 18,053-664-2000,,,053-664-3030,,,응답없음,,a
180,서울,은평구,갈현제1동주민센터,서울특별시 은평구 갈현로 301,053-664-3891,,,053-664-3030,,,응답없음,,b
181,서울,은평구,갈현제2동주민센터,서울특별시 은평구 연서로27길 31-6,053-664-2000,,,053-664-3030,,,응답없음,,a
182,서울,은평구,구산동주민센터,서울특별시 은평구 갈현로17길 10,053-664-3931,,,053-664-3931,,,연결끊김 ,,b
