연번,시도,시군구,읍면동,우편번호,주    소,전화번호,팩스번호
147,서울,도봉구,쌍문제4동 주민센터,1429,서울특별시 도봉구 시루봉로 62-7,,02-2091-5578
462,부산,영도구,영선1동행정복지센터,49060,부산광역시 영도구 꿈나무길 25,,051-419-5521
487,부산,부산진구,개금1동주민센터,47323,부산광역시 부산진구 가야대로454번길 9,,051-605-4950
544,부산,해운대구,송정동행정복지센터,48070,부산광역시 해운대구 송정중앙로21번길 20,,
625,부산,사상구,학장동행정복지센터,47023,부산광역시 사상구 학감대로147번길 11,,051-310-3209
632,대구,중구,동인동행정복지센터,41946,대구광역시 중구 국채보상로142길 19-5,,053-757-5788
633,대구,중구,삼덕동행정복지센터,41946,대구광역시 중구 달구벌대로447길 72-11,,053-661-3303
634,대구,중구,성내1동행정복지센터,41942,대구광역시 중구 동성로2길 7,,053-661-3304
635,대구,중구,성내2동행정복지센터,41934,대구광역시 중구 달구벌대로415길 48,,053-661-3305
636,대구,중구,성내3동행정복지센터,41922,대구광역시 중구 달성로 111,,053-661-3657
637,대구,중구,대신동행정복지센터,41929,대구광역시 중구 달구벌대로389길 50,,053-661-3307
638,대구,중구,남산1동행정복지센터,41968,대구광역시 중구 2.28길 18-15,,053-661-3308
639,대구,중구,남산2동행정복지센터,41966,대구광역시 중구 명륜로 27-1,,053-664-3030
640,대구,중구,남산3동행정복지센터,41969,대구광역시 중구 남산로4길 70,,053-661-3310
641,대구,중구,남산4동행정복지센터,41977,대구광역시 중구 남산로1길 42,,053-661-3311
642,대구,중구,대봉1동행정복지센터,41951,대구광역시 중구 달구벌대로440길 27,,053-661-2569
643,대구,중구,대봉2동행정복지센터,41955,대구광역시 중구 대봉로47길 31,,053-664-3030
646,대구,동구,신암3동행정복지센터,41211,대구광역시 동구 신암남로 67,,053-662-3303
648,대구,동구,신암5동행정복지센터,41182,대구광역시 동구 아양로37길 92,,053-662-3305
650,대구,동구,신천3동행정복지센터,41256,대구광역시 동구 장등로 90,,053-662-3307
